pc4,gemeente
1011,
1012,
1013,
1014,
1015,
1016,
1017,
1018,
1019,
1021,
1022,
1023,
1024,
1025,
1026,
1027,
1028,
1031,
1032,
1033,
1034,
1035,
1036,
1037,
1041,
1042,
1043,
1044,
1045,
1046,
1047,
1051,
1052,
1053,
1054,
1055,
1056,
1057,
1058,
1059,
1060,
1061,
1062,
1063,
1064,
1065,
1066,
1067,
1068,
1069,
1071,
1072,
1073,
1074,
1075,
1076,
1077,
1078,
1079,
1081,
1082,
1083,
1086,
1087,
1091,
1092,
1093,
1094,
1095,
1096,
1097,
1098,
1101,
1102,
1103,
1104,
1105,
1106,
1107,
1108,
1109,
1111,
1112,
1113,
1114,
1115,
1117,
1118,
1119,
1121,
1127,
1131,
1132,
1135,
1141,
1145,
1151,
1153,
1154,
1156,
1161,
1165,
1171,
1175,
1181,
1182,
1183,
1184,
1185,
1186,
1187,
1188,
1189,
1191,
1211,
1212,
1213,
1214,
1215,
1216,
1217,
1218,
1221,
1222,
1223,
1231,Wijdemeren
1241,Wijdemeren
1243,Wijdemeren
1244,Wijdemeren
1251,
1252,
1261,
1262,
1271,
1272,
1273,
1274,
1275,
1276,
1277,
1309,
1311,
1312,
1313,
1314,
1315,
1316,
1317,
1318,
1319,
1321,
1322,
1323,
1324,
1325,
1326,
1327,
1328,
1329,
1331,
1332,
1333,
1334,
1335,
1336,
1338,
1339,
1341,
1343,
1349,
1351,
1352,
1353,
1354,
1355,
1356,
1357,
1358,
1359,
1361,
1362,
1363,
1364,
1381,
1382,
1383,
1384,
1391,
1393,Stichtse Vecht
1394,Wijdemeren
1396,
1398,Gooise Meren
1399,Gooise Meren
1401,Gooise Meren
1402,Gooise Meren
1403,Gooise Meren
1404,Gooise Meren
1405,Gooise Meren
1406,Gooise Meren
1411,Gooise Meren
1412,Gooise Meren
1421,
1422,
1423,
1424,
1426,
1427,
1428,
1431,
1432,
1433,
1435,
1436,
1437,
1438,
1441,
1442,
1443,
1444,
1445,
1446,
1447,
1448,
1451,
1452,
1454,
1456,
1458,
1461,
1462,
1463,
1464,
1471,
1472,
1473,
1474,
1475,
1476,
1477,
1481,
1482,
1483,
1484,
1485,
1486,
1487,
1488,
1489,
1501,
1502,
1503,
1504,
1505,
1506,
1507,
1508,
1509,
1511,
1521,
1525,
1531,
1534,
1536,
1541,
1544,
1546,
1551,
1561,
1562,
1566,
1567,
1601,
1602,
1606,
1607,
1608,
1609,
1611,
1613,
1614,
1616,
1617,
1619,
1621,
1622,
1623,
1624,
1625,
1627,
1628,
1631,Koggenland
1633,Koggenland
1634,Koggenland
1636,
1641,Koggenland
1642,Koggenland
1643,Koggenland
1645,Koggenland
1646,
1647,Koggenland
1648,Koggenland
1652,Koggenland
1654,
1655,
1657,
1658,
1661,
1662,
1663,
1671,
1674,
1676,
1678,
1679,
1681,
1682,
1683,
1684,
1685,
1686,
1687,
1688,
1689,
1691,
1692,
1693,
1695,
1696,
1697,
1701,Dijk en Waard
1702,Dijk en Waard
1703,Dijk en Waard
1704,Dijk en Waard
1705,Dijk en Waard
1706,Dijk en Waard
1711,Koggenland
1713,Koggenland
1715,
1716,
1718,
1719,
1721,Dijk en Waard
1722,Dijk en Waard
1723,Dijk en Waard
1724,Dijk en Waard
1731,Hollands Kroon
1732,Hollands Kroon
1733,Hollands Kroon
1734,Hollands Kroon
1735,Hollands Kroon
1736,Hollands Kroon
1738,
1741,
1742,
1744,
1746,
1747,
1749,
1751,
1752,
1753,
1754,
1755,
1756,
1757,
1759,Schagen
1761,Hollands Kroon
1764,Hollands Kroon
1766,Hollands Kroon
1767,Hollands Kroon
1768,Hollands Kroon
1769,Hollands Kroon
1771,Hollands Kroon
1773,Hollands Kroon
1774,Hollands Kroon
1775,Hollands Kroon
1777,Hollands Kroon
1778,Hollands Kroon
1779,Hollands Kroon
1781,
1782,
1783,
1784,
1785,
1786,
1787,
1788,
1789,
1791,
1792,
1793,
1794,
1795,
1796,
1797,
1811,
1812,
1813,
1814,
1815,
1816,
1817,
1821,
1822,
1823,
1824,
1825,
1826,
1827,
1829,
1831,
1832,Dijk en Waard
1834,Dijk en Waard
1841,
1842,
1843,
1844,
1846,
1847,
1851,
1852,
1853,
1861,
1862,
1865,
1871,
1873,
1901,
1902,
1906,
1911,
1921,
1931,
1934,
1935,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,
1949,
1951,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1971,
1972,
1973,
1974,
1975,
1976,
1981,
1985,
1991,
1992,
2011,
2012,
2013,
2014,
2015,
2019,
2021,
2022,
2023,
2024,
2025,
2026,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2041,
2042,
2051,
2061,
2063,
2064,
2065,
2071,
2082,
2101,
2102,
2103,
2104,
2105,
2106,
2111,
2114,
2116,
2121,
2131,
2132,
2133,
2134,
2135,
2136,
2141,
2142,
2143,
2144,
2151,
2152,
2153,
2154,
2155,
2156,
2157,
2158,
2159,Kaag en Braassem
2161,
2162,
2163,
2165,
2171,Teylingen
2172,Teylingen
2181,
2182,
2191,
2201,
2202,
2203,
2204,
2211,
2212,
2215,Teylingen
2216,Teylingen
2221,
2222,
2223,
2224,
2225,
2231,
2232,
2235,
2236,
2241,
2242,
2243,
2244,
2245,
2251,
2252,
2253,
2254,
2261,Leidschendam-Voorburg
2262,Leidschendam-Voorburg
2263,Leidschendam-Voorburg
2264,Leidschendam-Voorburg
2265,Leidschendam-Voorburg
2266,Leidschendam-Voorburg
2267,Leidschendam-Voorburg
2271,Leidschendam-Voorburg
2272,Leidschendam-Voorburg
2273,Leidschendam-Voorburg
2274,Leidschendam-Voorburg
2275,Leidschendam-Voorburg
2281,
2282,
2283,
2284,
2285,
2286,
2287,
2288,
2289,
2291,Westland
2292,Westland
2295,Westland
2311,
2312,
2313,
2314,
2315,
2316,
2317,
2318,
2321,
2322,
2323,
2324,
2331,
2332,
2333,
2334,
2341,
2342,
2343,
2351,
2352,
2353,
2355,Kaag en Braassem
2361,Teylingen
2362,Teylingen
2371,Kaag en Braassem
2374,Kaag en Braassem
2375,Kaag en Braassem
2376,Kaag en Braassem
2377,Kaag en Braassem
2381,
2382,
2391,
2394,
2396,
2401,
2402,
2403,
2404,
2405,
2406,
2407,
2408,
2409,
2411,Bodegraven-Reeuwijk
2412,Bodegraven-Reeuwijk
2415,Bodegraven-Reeuwijk
2421,
2431,
2432,
2435,
2441,
2445,
2451,Kaag en Braassem
2461,
2465,Kaag en Braassem
2471,
2481,Kaag en Braassem
2491,
2492,
2493,
2495,
2496,
2497,
2498,
2511,
2512,
2513,
2514,
2515,
2516,
2517,
2518,
2521,
2522,
2523,
2524,
2525,
2526,
2531,
2532,
2533,
2541,
2542,
2543,
2544,
2545,
2546,
2547,
2548,
2551,
2552,
2553,
2554,
2555,
2561,
2562,
2563,
2564,
2565,
2566,
2571,
2572,
2573,
2574,
2581,
2582,
2583,
2584,
2585,
2586,
2587,
2591,
2592,
2593,
2594,
2595,
2596,
2597,
2611,
2612,
2613,
2614,
2616,
2622,
2623,
2624,
2625,
2626,
2627,
2628,
2629,
2631,Pijnacker-Nootdorp
2632,Pijnacker-Nootdorp
2635,Midden-Delfland
2636,Midden-Delfland
2641,Pijnacker-Nootdorp
2642,Pijnacker-Nootdorp
2643,Pijnacker-Nootdorp
2645,Pijnacker-Nootdorp
2651,Lansingerland
2652,Lansingerland
2661,Lansingerland
2662,Lansingerland
2665,Lansingerland
2671,Westland
2672,Westland
2673,Westland
2675,Westland
2676,Westland
2678,Westland
2681,Westland
2684,Westland
2685,Westland
2691,Westland
2692,Westland
2693,Westland
2694,Westland
2711,
2712,
2713,
2715,
2716,
2717,
2718,
2719,
2721,
2722,
2723,
2724,
2725,
2726,
2727,
2728,
2729,
2731,
2735,
2741,
2742,
2743,
2751,Zuidplas
2752,Zuidplas
2761,Zuidplas
2771,
2801,
