gemeente,start_date,policy_index
Almere,2028-01-01,0.6
Alphen aan den Rijn,2026-07-01,0.8
Amersfoort,2025-01-01,1.0
Amsterdam,2025-01-01,1.0
Apeldoorn,2025-01-01,1.0
Arnhem,2026-06-01,0.8
Assen,2025-01-01,1.0
Delft,2025-01-01,1.0
's-Gravenhage,2025-01-01,1.0
Deventer,2025-01-01,1.0
Dordrecht,2026-01-01,0.8
Ede,2026-01-01,0.8
Eindhoven,2025-01-01,1.0
Enschede,2025-07-01,1.0
Gouda,2025-01-01,1.0
Groningen,2025-04-01,1.0
Haarlem,2025-01-01,1.0
Hilversum,2027-01-01,0.6
's-Hertogenbosch,2025-03-01,1.0
Leiden,2025-01-01,1.0
Maastricht,2025-01-01,1.0
Nijmegen,2025-01-01,1.0
Rotterdam,2025-01-01,1.0
Haarlemmermeer,2026-01-01,0.8
Tilburg,2025-01-01,1.0
Utrecht,2025-01-01,1.0
Venlo,2027-01-01,0.6
Zaanstad,2026-01-01,0.8
Zwolle,2025-01-01,1.0
