name,brand,website,google_place_id,house_number,street,country,postal_code,google_name,google_address,google_rating,google_user_ratings_total,google_lat,google_lng,google_link
Fietsspecialist Van Den Driest B.V.,batavus,http://www.profilevandendriest.nl,ChIJx0nY7NmQxEcR0EAlL2Fd19E,22,Zusterstraat,Netherlands,4331 KK,Profile van den Driest,"Zusterstraat 22, 4331 KK Middelburg, Netherlands",4.4,52,51.4971917,3.6117129,https://www.google.com/maps/place/?q=place_id:ChIJx0nY7NmQxEcR0EAlL2Fd19E
Kiestra Fietsenwinkel B.V.,batavus,,ChIJHT3BDFUXxkcR-d9AVlZz1rM,1,Boomgaardweg,Netherlands,1326 CS,Kiestra Fietsenwinkel,"Boomgaardweg 1, 1326 CS Almere, Netherlands",4.1,46,52.3739747,5.2377147,https://www.google.com/maps/place/?q=place_id:ChIJHT3BDFUXxkcR-d9AVlZz1rM
Meinsma Fietsen,batavus,http://www.meinsma-fietsen.nl,ChIJuYEHsL1IyEcRDxcYuKyi284,8,Duerswâld,Netherlands,9241 GX,Meinsma Fietsen,"Duerswâld 8, 9241 GX Wijnjewoude, Netherlands",4.6,28,53.0695081,6.2310989,https://www.google.com/maps/place/?q=place_id:ChIJuYEHsL1IyEcRDxcYuKyi284
De Mooij Fietsen,batavus,http://www.keesdemooij.nl,ChIJy7lr6MRsxEcRZAPnvKWU6ak,43,Zuid-Oostsingel,Netherlands,4611 BC,De Mooij fietsen,"Zuid-Oostsingel 43, 4611 BC Bergen op Zoom, Netherlands",4.6,111,51.4906397,4.2896629,https://www.google.com/maps/place/?q=place_id:ChIJy7lr6MRsxEcRZAPnvKWU6ak
Tweewielerservice Van Der Zande B.V.,batavus,http://www.tweewielerservice.com,ChIJbbL_PptpxEcRDAOuymuZZGY,53,Kalisbuurt,Netherlands,4698 CP,Tweewielerservice Van der Zande B.V.,"Kalisbuurt 53, 4698 CP Oud-Vossemeer, Netherlands",4.5,34,51.5729188,4.2030240,https://www.google.com/maps/place/?q=place_id:ChIJbbL_PptpxEcRDAOuymuZZGY
Fietsvoordeelshop.Nl -Zoeterwoude,batavus,https://www.fietsvoordeelshop.nl/,ChIJKbgEVdjFxUcRVjutdv9f1YY,293 A,Hoge Rijndijk,Netherlands,2382 AN,Fietsvoordeelshop.nl - Hoge Rijndijk Zoeterwoude,"Hoge Rijndijk 293 A, 2382 AN Zoeterwoude, Netherlands",4.9,34,52.1397635,4.5457570,https://www.google.com/maps/place/?q=place_id:ChIJKbgEVdjFxUcRVjutdv9f1YY
Fietswereld Dittrich,batavus,http://www.fietswerelddittrich.nl,ChIJ1-r3rFXTyUcRGtvADaXUVS4,1,Bieleveldslaan,Netherlands,9614 TA,Fietswereld Dittrich,"Bieleveldslaan 1, 9614 TA Harkstede, Netherlands",4.9,55,53.2065625,6.6825243,https://www.google.com/maps/place/?q=place_id:ChIJ1-r3rFXTyUcRGtvADaXUVS4
Nobel Tweewielers V.O.F.,batavus,,ChIJeRy-sxSExkcRo3zKlAQaZe0,9,Kruisstraat,Netherlands,4251 CT,Nobel Tweewielers V.O.F.,"Kruisstraat 9, 4251 CT Werkendam, Netherlands",4.8,56,51.8141707,4.8967599,https://www.google.com/maps/place/?q=place_id:ChIJeRy-sxSExkcRo3zKlAQaZe0
Fietsvoordeelshop.Nl -Rijswijk,batavus,https://www.fietsvoordeelshop.nl/,ChIJqZISWwy3xUcRTOj31izGnI4,265,Steenvoordelaan,Netherlands,2284 CM,Fietsvoordeelshop.nl - Rijswijk,"Steenvoordelaan 265, 2284 CM Rijswijk, Netherlands",4.3,27,52.0380278,4.3165029,https://www.google.com/maps/place/?q=place_id:ChIJqZISWwy3xUcRTOj31izGnI4
Prof BikeS,batavus,,ChIJ22oLGHMzxEcR9GsF57QM0z4,56,Pretorialaan,Netherlands,3072 EP,Prof Bike's,"Pretorialaan 56, 3072 EP Rotterdam, Netherlands",4.6,90,51.9007562,4.4985884,https://www.google.com/maps/place/?q=place_id:ChIJ22oLGHMzxEcR9GsF57QM0z4
Tweewielercentrum Giezen,batavus,http://www.giezentweewielers.nl,ChIJj0FSXc3MyUcRYP7-cfs1iyg,22,Middenweg,Netherlands,9745 BN,Giezen Tweewielers Hoogkerk,"Middenweg 22, 9745 BN Groningen, Netherlands",4.8,59,53.2148314,6.5038845,https://www.google.com/maps/place/?q=place_id:ChIJj0FSXc3MyUcRYP7-cfs1iyg
W.L. Zeelen Rijwielverhuur B.V.,batavus,http://www.zeelenfiets.nl,ChIJKf1uT44lyUcR62uXKt28-rw,30,Heereweg,Netherlands,8891 HT,W.L. Zeelen Rijwielverhuur b.v,"Heereweg 30, 8891 HT Midsland, Netherlands",4.2,48,53.3891660,5.2848896,https://www.google.com/maps/place/?q=place_id:ChIJKf1uT44lyUcR62uXKt28-rw
Budgetfietsen.Mierlo Vof,batavus,http://www.budgetfietsen.nl,ChIJAYJJRbwmx0cRa3Hu06YsU80,100,Dorpsstraat,Netherlands,5731 JK,Budgetfietsen.mierlo,"Dorpsstraat 100, 5731 JK Mierlo, Netherlands",4.0,65,51.4432284,5.6129387,https://www.google.com/maps/place/?q=place_id:ChIJAYJJRbwmx0cRa3Hu06YsU80
Fytsmakkerij Scheltema V.O.F.,batavus,fietsenwinkels/friesland/workum/fytsmakkerij-scheltema,ChIJN2CTJWjqyEcRyuJNNH930fk,74,Súd,Netherlands,8711 CW,Fytsmakkerij Scheltema vof,"Súd 74, 8711 CW Workum, Netherlands",5.0,25,52.9773406,5.4399982,https://www.google.com/maps/place/?q=place_id:ChIJN2CTJWjqyEcRyuJNNH930fk
Paul Tweewielers,batavus,fietsenwinkels/zuid-holland/katwijk/profile-paul-de-fietsspecialist,ChIJNXQyADa_xUcR-0qrl1uWWSw,1,Drieplassenweg,Netherlands,2225 JH,profile Paul,"Drieplassenweg 1, 2225 JH Katwijk aan Zee, Netherlands",4.8,108,52.2001504,4.3918856,https://www.google.com/maps/place/?q=place_id:ChIJNXQyADa_xUcR-0qrl1uWWSw
Bike Totaal Kramer Appelscha,batavus,http://www.fietsservice.nl,ChIJ8xS3kSg_yEcRB6KTijTsIAc,12,Boerestreek,Netherlands,8426 BP,Bike Totaal & Fietsverhuur Kramer Appelscha,"Boerestreek 12, 8426 BP Appelscha, Netherlands",4.6,186,52.9532110,6.3410625,https://www.google.com/maps/place/?q=place_id:ChIJ8xS3kSg_yEcRB6KTijTsIAc
Nomen Tweewielers V.O.F.,batavus,http://www.nomenfietsen.nl,ChIJMWoOw9rWxUcRy4TdLMrX2xc,29,Raadhuisweg,Netherlands,2811 HT,Bike Totaal Nomen Tweewielers - Fietsenwinkel en fietsreparatie,"Raadhuisweg 29, 2811 HT Reeuwijk, Netherlands",4.7,59,52.0447816,4.7221695,https://www.google.com/maps/place/?q=place_id:ChIJMWoOw9rWxUcRy4TdLMrX2xc
Het Rijwielhuis Van Beek,batavus,,ChIJBZVgxZhGxkcRPhBv834uVro,47,Bloemendalsestraat,Netherlands,3811 ER,Rijwielhuis van Beek,"Bloemendalsestraat 47, 3811 ER Amersfoort, Netherlands",5.0,25,52.1592753,5.3904059,https://www.google.com/maps/place/?q=place_id:ChIJBZVgxZhGxkcRPhBv834uVro
Van Der Veeken De Fietsspecialist Noord B.V.,batavus,http://www.vanderveekenfietsen.nl,ChIJeX_2dl4fxEcRFpG2NyGjDGQ,4,Leursvoetpad,Netherlands,4871 CJ,Van der Veeken Bike Specialist North,"Leursvoetpad 4, 4871 CJ Etten-Leur, Netherlands",4.5,31,51.5863030,4.6535909,https://www.google.com/maps/place/?q=place_id:ChIJeX_2dl4fxEcRFpG2NyGjDGQ
V.O.F. R. Koops Tweewielers,batavus,fietsenwinkels/gelderland/elburg/bike-totaal-r-koops-tweewielers,ChIJTyIPwG_Rx0cRTs8KZmsa_to,14,Westerlengte,Netherlands,8081 PZ,Bike Total R. Koops Tweewielers,"Bedrijventerrein oostendorp, Westerlengte 14, 8081 PZ Elburg, Netherlands",4.3,60,52.4414688,5.8630515,https://www.google.com/maps/place/?q=place_id:ChIJTyIPwG_Rx0cRTs8KZmsa_to
2Wielerreus,batavus,http://www.2wielerreus.nl,ChIJwTkBqUMKuEcRMEH6TRLclpg,1,Da Costastraat,Netherlands,7471 ZM,2wielerreus Goor,"Da Costastraat 1, 7471 ZM Goor, Netherlands",4.6,30,52.2408901,6.5703587,https://www.google.com/maps/place/?q=place_id:ChIJwTkBqUMKuEcRMEH6TRLclpg
Bike Totaal Steven Koelewijn Amersfoort,batavus,http://www.biketotaalamersfoort.nl,ChIJw_uVwzxGxkcR_OF8JajJS7w,275-277,Soesterweg,Netherlands,3812 AJ,Bike Totaal Steven Koelewijn Amersfoort - Fietsenwinkel en fietsreparatie,"Soesterweg 275-277, 3812 AJ Amersfoort, Netherlands",4.3,50,52.1580581,5.3626680,https://www.google.com/maps/place/?q=place_id:ChIJw_uVwzxGxkcR_OF8JajJS7w
Bike Totaal Schulting Tweewielers B.V.,batavus,http://www.schultingtweewielers.nl,ChIJq1vSJBcXxkcR6CnILeEDg58,10-01,Markerkant,Netherlands,1316 AA,Bike Total Schulting Tweewielers,"Markerkant 10-01, 1316 AA Almere, Netherlands",4.5,72,52.3861450,5.2168357,https://www.google.com/maps/place/?q=place_id:ChIJq1vSJBcXxkcR6CnILeEDg58
Stefan Laban Tweewielers,batavus,http://www.hansvanstraalen.nl,ChIJgZsroTrMxUcRJROd5e1xbF8,13,Van Waningstraat,Netherlands,2665 KJ,Hans van Straalen Tweewielers,"Van Waningstraat 13, 2665 KJ Bleiswijk, Netherlands",4.8,109,52.0077815,4.5305763,https://www.google.com/maps/place/?q=place_id:ChIJgZsroTrMxUcRJROd5e1xbF8
