country,city,population,bike_culture,ze_policy,gdp_per_capita,urban_density,bike_infrastructure,policy_support,economic_stability,market_entry_ease,academic_mode_share,population_scale,opportunity_score,gender_equity_potential,academic_validation_bonus,opportunity_score_enhanced,meets_size_threshold,priority_tier,priority_tier_enhanced,estimated_dealer_target,roadmap_phase
Denmark,Copenhagen,660000,10,9,68000,7000,10,9,10,8,26.8,1.7837837837837838,90.8918918918919,10.0,5,93.62432432432433,True,Prime,High,1,Phase 1
Germany,Munich,1500000,9,9,53000,4800,8,8,10,7,9.3,4.054054054054054,84.52702702702703,10.0,5,89.16891891891892,True,High,High,1,Phase 2
Denmark,Aarhus,280000,9,7,68000,3000,10,9,10,8,26.8,0.7567567567567568,83.87837837837839,10.0,5,88.71486486486486,True,High,High,1,Phase 1
Germany,Berlin,3700000,8,8,53000,4100,8,8,10,7,9.3,10.0,83.0,10.0,5,88.1,True,High,High,1,Phase 2
Denmark,Odense,180000,8,6,68000,2500,10,9,10,8,26.8,0.4864864864864865,79.24324324324326,10.0,5,85.47027027027028,True,High,High,1,Phase 1
Belgium,Brussels,1200000,7,8,51000,7500,9,7,9,9,15.0,3.2432432432432434,78.12162162162163,10.0,5,84.68513513513514,True,High,Medium,1,Phase 1
Belgium,Ghent,260000,9,6,51000,1600,9,7,9,9,15.0,0.7027027027027027,77.85135135135135,10.0,5,84.49594594594595,True,High,Medium,1,Phase 1
Belgium,Antwerp,530000,8,7,51000,2600,9,7,9,9,15.0,1.4324324324324325,77.71621621621621,10.0,5,84.40135135135134,True,High,Medium,1,Phase 1
Germany,Cologne,1100000,7,8,53000,2700,8,8,10,7,9.3,2.9729729729729732,76.98648648648648,10.0,5,83.89054054054054,True,High,Medium,1,Phase 2
Germany,Hamburg,1900000,7,7,53000,2400,8,8,10,7,9.3,5.135135135135135,76.06756756756758,10.0,5,83.24729729729731,True,High,Medium,1,Phase 2
Germany,Frankfurt,760000,6,9,53000,3000,8,8,10,7,9.3,2.0540540540540544,76.02702702702703,10.0,5,83.21891891891892,True,High,Medium,1,Phase 2
Sweden,Stockholm,980000,7,8,58000,5200,7,8,10,7,10.0,2.6486486486486487,75.32432432432432,10.0,5,82.72702702702702,True,High,Medium,1,Phase 2
Austria,Vienna,1900000,8,7,50000,4300,7,6,9,6,12.0,5.135135135135135,72.56756756756756,10.0,5,80.79729729729729,True,Medium,Medium,1,Phase 2
Sweden,Malmo,350000,7,6,58000,2300,7,8,10,7,10.0,0.945945945945946,70.47297297297297,10.0,5,79.33108108108107,True,Medium,Medium,1,Phase 2
Sweden,Gothenburg,580000,6,7,58000,1300,7,8,10,7,10.0,1.5675675675675675,70.28378378378379,10.0,5,79.19864864864866,True,Medium,Medium,1,Phase 2
Switzerland,Zurich,430000,8,8,94000,4700,8,7,10,5,6.7,1.1621621621621623,75.58108108108108,9.379999999999999,0,76.35675675675675,True,High,Medium,1,Phase 3
Austria,Salzburg,150000,7,6,50000,2300,7,6,9,6,12.0,0.40540540540540543,65.7027027027027,10.0,5,75.99189189189188,True,Medium,Medium,1,Phase 2
Switzerland,Basel,180000,8,6,94000,7700,8,7,10,5,6.7,0.4864864864864865,71.24324324324326,9.379999999999999,0,73.32027027027027,True,Medium,Medium,1,Phase 3
Switzerland,Geneva,200000,7,7,94000,1200,8,7,10,5,6.7,0.5405405405405406,70.77027027027027,9.379999999999999,0,72.98918918918918,True,Medium,Medium,1,Phase 3
Austria,Innsbruck,130000,6,5,50000,1200,7,6,9,6,12.0,0.35135135135135137,61.17567567567568,10.0,5,72.82297297297296,True,Medium,Medium,1,Phase 2
